Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6, C8",0805,4,100nF,
C10,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,22uF,
"C11, C2",0805,2,1uF,
"C4, C5",0805,2,22pF,
C9,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,10uF,
D1,0805,1,LED,
"D2, D3, D4",D_SMA_Handsoldering,3,1N4001,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
"J10, J11, J12, J13, J14, J3, J4, J5, J6, J7, J8, J9",PinHeader_1x04_P2.54mm_Vertical,12,Conn_01x04_Pin,
"J15, J16",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,InputSupply+5V,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Jumper_2_Open,
"Q1, Q2",SOT-23,2,BSS138,
"R1, R2",0805,2,0R,
"R3, R4, R7",0805,3,10K,
RESET1,SW_PUSH_6mm,1,SW_Push,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32D,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_HC49-SD,1,Crystal,
